majorID	requirementID
M101	R01
M102	R01
M103	R01
M104	R01
M105	R01
M106	R01
M107	R01
M108	R01
M101	R02
M102	R02
M103	R02
M104	R02
M105	R02
M106	R02
M107	R02
M108	R02
M101	R03
M102	R03
M103	R03
M104	R03
M105	R03
M106	R03
M107	R03
M108	R03
M101	R04
M102	R04
M103	R04
M104	R04
M105	R04
M106	R04
M107	R04
M108	R04
M101	R05
M102	R05
M103	R05
M104	R05
M105	R05
M106	R05
M107	R05
M108	R05
M101	R06
M102	R06
M103	R06
M104	R06
M105	R06
M106	R06
M107	R06
M108	R06
M101	R09
M102	R07
M103	R07
M104	R07
M105	R07
M106	R07
M107	R07
M108	R07
M101	R10
M102	R08
M103	R08
M104	R08
M105	R08
M106	R08
M107	R08
M108	R08
